CustomerID,PurchaseDate,MonetaryValue
1,2021-02-03,99.87
1,2021-03-11,159.08
2,2021-01-30,261.97
3,2021-02-05,169.41
3,2021-03-10,200.45
3,2021-04-09,142.96
3,2021-05-05,416.08
3,2021-06-04,184.81
3,2021-06-25,147.66
4,2021-01-29,162.38
4,2021-03-02,169.34
5,2021-02-01,62.87
5,2021-03-03,25.4
6,2021-01-26,89.0
7,2021-01-23,175.43
7,2021-02-21,472.03
8,2021-01-31,299.54
8,2021-03-02,342.01
8,2021-04-10,18.13
8,2021-05-05,260.93
8,2021-05-30,120.98
8,2021-07-01,326.13
8,2021-07-28,95.44
9,2021-02-03,449.64
9,2021-03-05,451.2
10,2021-02-02,450.29
11,2021-02-03,358.97
12,2021-01-22,482.17
12,2021-02-19,427.97
12,2021-03-26,154.28
12,2021-04-25,198.7
12,2021-05-21,427.06
12,2021-06-18,165.29
12,2021-07-17,93.05
13,2021-02-07,406.59
13,2021-03-12,406.96
14,2021-01-28,293.36
15,2021-01-24,35.32
15,2021-02-18,270.36
16,2021-01-21,94.87
16,2021-02-26,222.59
16,2021-03-22,205.27
16,2021-04-22,311.77
16,2021-05-26,321.2
16,2021-06-24,32.2
16,2021-07-28,193.56
16,2021-08-14,316.67
16,2021-09-16,256.54
16,2021-10-16,429.68
17,2021-02-01,18.93
17,2021-03-02,56.28
17,2021-03-30,344.67
17,2021-04-23,44.88
18,2021-02-04,452.25
18,2021-02-28,257.57
18,2021-03-28,414.96
18,2021-05-07,166.82
18,2021-06-10,448.81
19,2021-01-30,80.07
19,2021-03-04,383.14
19,2021-04-08,312.93
19,2021-04-27,59.55
19,2021-06-04,51.21
20,2021-01-29,390.8
20,2021-03-04,283.62
21,2021-01-23,475.7
21,2021-02-26,446.23
21,2021-03-26,233.27
21,2021-04-15,313.86
21,2021-05-15,145.92
21,2021-06-13,102.18
21,2021-07-21,237.21
22,2021-02-12,339.13
22,2021-03-13,312.88
22,2021-03-30,185.5
22,2021-04-22,65.64
22,2021-05-28,339.07
22,2021-06-23,264.95
22,2021-07-30,388.44
22,2021-08-31,264.88
23,2021-02-04,181.79
23,2021-03-01,299.06
24,2021-02-02,84.43
24,2021-03-04,78.03
24,2021-03-31,324.03
24,2021-04-20,99.12
25,2021-01-25,235.78
26,2021-01-22,191.53
26,2021-02-10,247.42
26,2021-03-16,312.94
